Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Русский Индустриальный Банк (РусИндустрБанк),2007,1,8.2,-9.359373784510982,3.3,25.3,0.5,2.86,110,6.7,0.0002,56.5,77.8,2.7,-54.8,Частный,Пик,1
Русский Индустриальный Банк (РусИндустрБанк),2007,2,7.61,14.561383898598601,3.3,25.3,0.5,2.86,110,6.7,0.0002,56.5,77.8,2.7,-54.8,Частный,Пик,1
Русский Индустриальный Банк (РусИндустрБанк),2007,3,7.37,14.614921411716676,3.5,25.3,0.5,2.86,110,6.7,0.0002,56.5,77.8,2.7,-54.8,Частный,Пик,1
Русский Индустриальный Банк (РусИндустрБанк),2007,4,7.6,10.045296058572362,5.7,25.3,0.5,2.86,110,6.7,0.0002,56.5,77.8,2.7,-54.8,Частный,Пик,1
ЗАО “Конверсбанк”,2007,1,8.2,-9.359373784510982,3.3,20.5,6.58,1.15,50,7.18,0.004,104.41,301.21,64.51,602.26,Частный,Пик,1
ЗАО “Конверсбанк”,2007,2,7.61,14.561383898598601,3.3,20.5,6.58,1.15,50,7.18,0.004,104.41,301.21,64.51,602.26,Частный,Пик,1
ЗАО “Конверсбанк”,2007,3,7.37,14.614921411716676,3.5,20.5,6.58,1.15,50,7.18,0.004,104.41,301.21,64.51,602.26,Частный,Пик,1
ЗАО “Конверсбанк”,2007,4,7.6,10.045296058572362,5.7,20.5,6.58,1.15,50,7.18,0.004,104.41,301.21,64.51,602.26,Частный,Пик,1
АКБ “Международный Промышленный Банк” (Межпромбанк),2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
АКБ “Международный Промышленный Банк” (Межпромбанк),2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
ЗАО “Донской Народный Банк”,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
ЗАО “Донской Народный Банк”,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
ЗАО “Донской Народный Банк”,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
ЗАО “Донской Народный Банк”,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
ОАО “ТНГИ-Банк”,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
