Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 32,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 32,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 32,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 32,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 33,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 33,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 33,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 33,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 34,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 34,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 34,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 34,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 36,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 36,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 36,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 36,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 37,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 37,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 37,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 37,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 39,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 39,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 39,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 39,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 40,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 40,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 40,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 40,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 42,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 42,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 42,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 42,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 43,2009,1,13.35,-21.511101090472806,16.3,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 43,2009,2,13.85,10.920649567662476,8.6,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 43,2009,3,13.98,12.617920329998533,6.5,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
Банк 43,2009,4,13.16,3.890846860429842,5.8,None,None,None,None,None,None,None,None,None,None,Частный,Дно,0
